Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",126.800000,-87.745000,90.000000,bottom
"C5","4.7uF","C_1210_3225Metric",141.060000,-87.845000,90.000000,bottom
"C7","4.7uF","C_1210_3225Metric",145.560000,-87.845000,90.000000,bottom
"C9","0.1uF","C_0603_1608Metric",149.400000,-106.975000,-90.000000,bottom
"C10","100uF","CP_Elec_10x10.5",139.300000,-109.650000,-90.000000,bottom
"C16","47uF","C_1210_3225Metric",157.275000,-82.050000,180.000000,bottom
"FB1","600 ohm","FB_HI2220P601R-10",142.310000,-99.400000,180.000000,bottom
"L1","ACM9070-701-2PL-TL01","IND_ACM9070_TDK",133.510000,-87.875000,180.000000,bottom
"L2","2.2uH","INDM5451X300N",143.522950,-93.105000,0.000000,bottom
"R1","100K","R_0603_1608Metric",161.160000,-111.670000,180.000000,bottom
"R2","0R","R_1206_3216Metric",130.730000,-93.085000,0.000000,bottom
"R3","0R","R_1206_3216Metric",130.720000,-82.645000,0.000000,bottom
"R4","100K","R_0603_1608Metric",183.050000,-103.820000,0.000000,bottom
"R5","3R","R_0603_1608Metric",177.550000,-112.150000,180.000000,bottom
"R6","100K","R_0603_1608Metric",175.230000,-107.040000,180.000000,bottom
