  Time                 , V(VOUT)              , I(L1:1)              , -i(rload)            , v(vsw)               , v(vin)               
  1.470000000004e-04  ,5.000208578792e+00  ,3.621549696606e+00  ,3.500146005155e+00  ,-1.060230125853e-01  ,1.350000000000e+01  
  1.470017970805e-04  ,5.000207890877e+00  ,3.617319650907e+00  ,3.500145523614e+00  ,-1.059020623214e-01  ,1.350000000000e+01  
  1.470053912406e-04  ,5.000206300544e+00  ,3.608859964022e+00  ,3.500144410380e+00  ,-1.056601729268e-01  ,1.350000000000e+01  
  1.470125795607e-04  ,5.000202094614e+00  ,3.591942533742e+00  ,3.500141466230e+00  ,-1.051764483066e-01  ,1.350000000000e+01  
  1.470269562010e-04  ,5.000189479681e+00  ,3.558115722463e+00  ,3.500132635777e+00  ,-1.042092236771e-01  ,1.350000000000e+01  
  1.470416621570e-04  ,5.000170796956e+00  ,3.523525255032e+00  ,3.500119557869e+00  ,-1.032201557178e-01  ,1.350000000000e+01  
  1.470547409062e-04  ,5.000149304638e+00  ,3.492771755384e+00  ,3.500104513246e+00  ,-1.023407938944e-01  ,1.350000000000e+01  
  1.470656783585e-04  ,5.000127828894e+00  ,3.467060246437e+00  ,3.500089480226e+00  ,-1.016055970571e-01  ,1.350000000000e+01  
  1.470752791767e-04  ,5.000106363315e+00  ,3.444496076942e+00  ,3.500074454321e+00  ,-1.009603916638e-01  ,1.350000000000e+01  
  1.470848427419e-04  ,5.000082559871e+00  ,3.422024312169e+00  ,3.500057791910e+00  ,-1.003178252787e-01  ,1.350000000000e+01  
  1.470917978589e-04  ,5.000063739243e+00  ,3.405684737471e+00  ,3.500044617470e+00  ,-9.985060268730e-02  ,1.350000000000e+01  
  1.470980079179e-04  ,5.000045862844e+00  ,3.391097691789e+00  ,3.500032103991e+00  ,-9.943349103878e-02  ,1.350000000000e+01  
  1.471018233602e-04  ,5.000034378875e+00  ,3.382136470523e+00  ,3.500024065213e+00  ,-9.917724708258e-02  ,1.350000000000e+01  
  1.471047573988e-04  ,5.000025288913e+00  ,3.375245904400e+00  ,3.500017702239e+00  ,-9.898021303406e-02  ,1.350000000000e+01  
  1.471091584568e-04  ,5.000011232513e+00  ,3.364910915612e+00  ,3.500007862759e+00  ,-9.868468564107e-02  ,1.350000000000e+01  
  1.471168996100e-04  ,4.999985283061e+00  ,3.346734901126e+00  ,3.499989698143e+00  ,-9.816494289184e-02  ,1.350000000000e+01  
  1.471303568487e-04  ,4.999936462091e+00  ,3.315145302424e+00  ,3.499955523464e+00  ,-9.726163337584e-02  ,1.350000000000e+01  
  1.471503571872e-04  ,4.999855225047e+00  ,3.268214335999e+00  ,3.499898657533e+00  ,-9.591962118115e-02  ,1.350000000000e+01  
  1.471703575258e-04  ,4.999763634281e+00  ,3.221304873438e+00  ,3.499834543997e+00  ,-9.457820625154e-02  ,1.350000000000e+01  
  1.471836702232e-04  ,4.999696162014e+00  ,3.189079253469e+00  ,3.499787313410e+00  ,-3.281359385604e-01  ,1.350000000000e+01  
  1.471852303748e-04  ,4.999687918814e+00  ,3.185260487127e+00  ,3.499781543170e+00  ,-3.277593093465e-01  ,1.350000000000e+01  
  1.471863414426e-04  ,4.999682007145e+00  ,3.182538832875e+00  ,3.499777405002e+00  ,-3.274865370108e-01  ,1.350000000000e+01  
  1.471870208424e-04  ,4.999678375627e+00  ,3.180874243160e+00  ,3.499774862939e+00  ,-3.273199443911e-01  ,1.350000000000e+01  
  1.471877455977e-04  ,4.999674487890e+00  ,3.179098484377e+00  ,3.499772141523e+00  ,-3.271422255178e-01  ,1.350000000000e+01  
  1.471883326103e-04  ,4.999671328628e+00  ,3.177660235226e+00  ,3.499769930040e+00  ,-3.269982855189e-01  ,1.350000000000e+01  
  1.471888189469e-04  ,4.999668704152e+00  ,3.176468681080e+00  ,3.499768092907e+00  ,-3.268790253620e-01  ,1.350000000000e+01  
  1.471892826990e-04  ,4.999666195609e+00  ,3.175332488072e+00  ,3.499766336926e+00  ,-3.267653072483e-01  ,1.350000000000e+01  
  1.471898445659e-04  ,4.999663148567e+00  ,3.173955951435e+00  ,3.499764203997e+00  ,-3.266275565904e-01  ,1.350000000000e+01  
  1.471903073867e-04  ,4.999660632265e+00  ,3.172822103599e+00  ,3.499762442585e+00  ,-3.265140802486e-01  ,1.350000000000e+01  
  1.471907615461e-04  ,4.999658157438e+00  ,3.171709503128e+00  ,3.499760710206e+00  ,-3.264027195043e-01  ,1.350000000000e+01  
  1.471909809890e-04  ,4.999656959646e+00  ,3.171171921713e+00  ,3.499759871752e+00  ,-3.263489069969e-01  ,1.350000000000e+01  
  1.471910896976e-04  ,4.999656365799e+00  ,3.170905614580e+00  ,3.499759456059e+00  ,-3.263222679323e-01  ,1.350000000000e+01  
  1.471911759381e-04  ,4.999655894462e+00  ,3.170694349581e+00  ,3.499759126123e+00  ,-3.263011372847e-01  ,1.350000000000e+01  
  1.471912670331e-04  ,4.999655396375e+00  ,3.170471193470e+00  ,3.499758777463e+00  ,-3.262788140591e-01  ,1.350000000000e+01  
  1.471913024757e-04  ,4.999655202522e+00  ,3.170384369650e+00  ,3.499758641766e+00  ,-3.262701603771e-01  ,1.350000000000e+01  
  1.471913308898e-04  ,4.999655047088e+00  ,3.170314763849e+00  ,3.499758532962e+00  ,-3.262631412750e-01  ,1.350000000000e+01  
  1.471913614663e-04  ,4.999654879801e+00  ,3.170239860915e+00  ,3.499758415860e+00  ,-3.262555988577e-01  ,1.350000000000e+01  
  1.471914140045e-04  ,4.999654592298e+00  ,3.170111158780e+00  ,3.499758214609e+00  ,-3.262426851019e-01  ,1.350000000000e+01  
  1.471914692785e-04  ,4.999654289744e+00  ,3.169975755299e+00  ,3.499758002821e+00  ,-3.262292378937e-01  ,1.350000000000e+01  
  1.471915798265e-04  ,4.999653684390e+00  ,3.169704949585e+00  ,3.499757579073e+00  ,-3.262021274295e-01  ,1.350000000000e+01  
  1.471918009225e-04  ,4.999652472692e+00  ,3.169163343150e+00  ,3.499756730884e+00  ,-3.261478966424e-01  ,1.350000000000e+01  
  1.471922431144e-04  ,4.999650045344e+00  ,3.168080150254e+00  ,3.499755031741e+00  ,-3.260394844309e-01  ,1.350000000000e+01  
  1.471927139911e-04  ,4.999647454742e+00  ,3.166926720544e+00  ,3.499753218320e+00  ,-3.259240532946e-01  ,1.350000000000e+01  
  1.471931137148e-04  ,4.999645250910e+00  ,3.165947606522e+00  ,3.499751675637e+00  ,-3.258260643290e-01  ,1.350000000000e+01  
